series_id	cell_line	offset_start_bp	offset_end_bp	anchors_profiled	h3k4me3	input	offset_midpoint_bp	log2_h3k4me3_input	far_flank_median_log2_ratio	far_flank_centered_log2_ratio
saos2	SaOS-2	-2000	-1950	77696	0.257745315074135	0.357833093080725	-1975	-0.473339046532688	-0.464293897025448	-0.00904514950723978
saos2	SaOS-2	-1950	-1900	77696	0.257213756177924	0.358546385914333	-1925	-0.47919038812875	-0.464293897025448	-0.0148964911033022
saos2	SaOS-2	-1900	-1850	77696	0.259190949341021	0.358219985584844	-1875	-0.466828948964075	-0.464293897025448	-0.00253505193862741
saos2	SaOS-2	-1850	-1800	77696	0.259636017298188	0.358569553130148	-1825	-0.46576092695642	-0.464293897025448	-0.00146702993097259
saos2	SaOS-2	-1800	-1750	77696	0.260692957166392	0.358594779654036	-1775	-0.460001367219051	-0.464293897025448	0.00429252980639638
saos2	SaOS-2	-1750	-1700	77696	0.259869491350906	0.358162839785832	-1725	-0.462826867094475	-0.464293897025448	0.00146702993097259
saos2	SaOS-2	-1700	-1650	77696	0.263106466227348	0.358331445634267	-1675	-0.445646491399799	-0.464293897025448	0.0186474056256493
saos2	SaOS-2	-1650	-1600	77696	0.262888694398682	0.357641834843493	-1625	-0.444061950664377	-0.464293897025448	0.0202319463610708
saos2	SaOS-2	-1600	-1550	77696	0.262089940280066	0.356860327429984	-1575	-0.4452960822198	-0.464293897025448	0.0189978148056479
saos2	SaOS-2	-1550	-1500	77696	0.261871653624382	0.358031301482702	-1525	-0.451224340195279	-0.464293897025448	0.0130695568301693
saos2	SaOS-2	-1500	-1450	77696	0.260406198517298	0.356448208401977	-1475	-0.452927187118909	-0.464293897025448	0.0113667099065386
saos2	SaOS-2	-1450	-1400	77696	0.26023038509061	0.355752677100494	-1425	-0.451083700504929	-0.464293897025448	0.0132101965205187
saos2	SaOS-2	-1400	-1350	77696	0.259193266062603	0.355743925041186	-1375	-0.456809372766744	-0.464293897025448	0.00748452425870427
saos2	SaOS-2	-1350	-1300	77696	0.262117483525535	0.355437602965404	-1325	-0.439381285808317	-0.464293897025448	0.024912611217131
saos2	SaOS-2	-1300	-1250	77696	0.260754736408567	0.354570891680395	-1275	-0.443379181432972	-0.464293897025448	0.0209147155924761
saos2	SaOS-2	-1250	-1200	77696	0.25906790568369	0.357280168863262	-1225	-0.463724007304054	-0.464293897025448	0.000569889721394157
saos2	SaOS-2	-1200	-1150	77696	0.256505096787479	0.358901359143328	-1175	-0.484598289271226	-0.464293897025448	-0.0203043922457785
saos2	SaOS-2	-1150	-1100	77696	0.257001647446458	0.359897292009885	-1125	-0.485806034551285	-0.464293897025448	-0.021512137525837
saos2	SaOS-2	-1100	-1050	77696	0.258241865733114	0.360587932454695	-1075	-0.481626623382857	-0.464293897025448	-0.0173327263574091
saos2	SaOS-2	-1050	-1000	77696	0.259132259060956	0.359640650741351	-1025	-0.472865918162284	-0.464293897025448	-0.00857202113683569
saos2	SaOS-2	-1000	-950	77696	0.258237747116969	0.35961902800659	-975	-0.4777678855551	-0.464293897025448	-0.0134739885296525
saos2	SaOS-2	-950	-900	77696	0.2595340815486	0.36102527800659	-925	-0.476174288407789	-0.464293897025448	-0.0118803913823413
saos2	SaOS-2	-900	-850	77696	0.257858062191104	0.359975030889621	-875	-0.481318099018318	-0.464293897025448	-0.0170242019928698
saos2	SaOS-2	-850	-800	77696	0.256957629736409	0.358693111614498	-825	-0.481217957315684	-0.464293897025448	-0.0169240602902362
saos2	SaOS-2	-800	-750	77696	0.25634858937397	0.357950731054366	-775	-0.48165246978734	-0.464293897025448	-0.0173585727618926
saos2	SaOS-2	-750	-700	77696	0.255764518121911	0.358017658566722	-725	-0.485213001606437	-0.464293897025448	-0.0209191045809894
saos2	SaOS-2	-700	-650	77696	0.254632156095552	0.359433432866557	-675	-0.497308335270086	-0.464293897025448	-0.0330144382446385
saos2	SaOS-2	-650	-600	77696	0.253565434514003	0.358975751647446	-625	-0.50152663058141	-0.464293897025448	-0.0372327335559625
saos2	SaOS-2	-600	-550	77696	0.252294584019769	0.358102347611203	-575	-0.505261050526484	-0.464293897025448	-0.0409671535010366
